,genre,hash,histmax_b,histmax_g,histmax_r,med_b,med_g,med_r,std_b,std_g,std_r
186,electronic,f0781963-a86c-44b8-b6f3-6f9982832e3d,253,246,249,249.0,243.0,246.0,65.49985793911813,57.23187629284926,66.49823025070967
187,hip-hop,4fc77d6e-e721-4c57-b6e4-61cad4a2b5ed,22,255,255,163.0,173.0,187.0,80.33359398573167,82.34264832183877,73.71807627956183
188,electronic,5ea95501-8ae3-461c-b4ec-c9aa83e61fc9,0,0,0,20.0,14.0,16.0,72.59740597232108,66.06912086296,66.290259645549
189,hip-hop,091786c8-db0d-4ce9-8a60-f13bda4abfd9,18,28,43,23.0,32.0,49.0,58.895208183419335,59.51295649986063,61.23683996212724
190,rock,dd51cabe-c150-38cf-b0cd-ebc9e5c9994f,136,203,238,130.0,199.0,235.0,25.952539405086046,28.989187556620895,30.53508087950749
191,country,5c2103db-5dab-469f-9697-02c9e542ad4a,93,175,205,111.0,138.0,166.0,48.00008448333749,56.15459216069867,54.74585450664187
192,hip-hop,75b18e80-d108-4055-b26a-79ce08728d45,27,25,26,56.0,56.0,68.0,46.37513016620801,52.007998319579116,71.59256834990136
193,electronic,345eee80-84f0-4f12-8c72-807d7e5038ed,3,1,1,6.0,2.0,2.0,56.60334805282162,80.55224410663222,97.71563981111518
194,country,7db4927b-6dd8-4e78-abc5-ba51ff5cd9d5,176,255,255,109.0,131.0,215.0,59.360879685405074,62.37190058990847,76.05199072079878
195,rock,6a76b16c-be39-3175-a4e8-8ed2ac969a6d,48,33,95,67.0,71.0,97.0,64.31870366703993,70.19628335606335,51.378844875702065
196,rock,757c481b-c243-498d-bba9-91dec78a49ec,0,0,255,102.0,125.0,152.0,66.18531774156791,68.21257547626958,74.44240101830138
197,electronic,7e0c0c74-1954-4591-98e2-2d26d6ada54c,21,20,21,89.0,58.0,58.0,51.56833850607111,43.13595717746372,42.51080925964595
198,rock,2c8efc87-84d5-4519-8898-934c82c6bf46,0,255,255,109.0,116.0,130.0,83.84571945174304,84.90737765389822,84.12947878315671
199,country,f0d5ab53-cfa7-4877-bf43-6348c348eb7f,0,25,77,10.0,21.0,71.0,6.016663503037543,8.103663743617204,15.602529452769637
200,electronic,02d63f84-fd12-4611-b612-d8e4b058b5f2,213,166,0,153.0,135.0,60.0,61.84648261510897,57.22298209483822,66.52520942639308
201,electronic,b58b451e-77e8-4d11-a3ed-99a64df539d5,14,13,4,21.0,19.0,20.0,49.31874036762901,48.30724527504751,75.28955379120896
202,pop,e686f0f9-d7fc-4db3-b918-542e6963ebec,55,56,61,59.0,61.0,66.0,53.37155597830724,61.61487348666391,61.62938839522586
203,pop,67cf06d4-c23f-4720-9d08-aecea1e22b79,231,227,227,173.0,158.0,164.0,73.52229319489145,66.87090016239603,59.289084249179496
204,country,ea312cf2-017e-4362-be40-588bfea67fff,4,215,238,49.0,99.0,162.0,52.009913445492295,83.08292805815991,87.8643168701888
205,country,8bd26f90-a889-4824-9cc7-74e2393707a6,0,2,3,14.0,14.0,22.0,91.63197265794562,88.69780089233473,90.72898441013434
206,rock,d7471394-4eab-4a27-8b21-65024c07e753,41,36,255,93.0,111.0,199.0,43.66377893211828,51.82101236205576,90.82839988844644
207,country,93d7160a-ebfe-4678-908e-037e3952a96e,0,0,0,60.0,58.0,58.0,51.63876300501026,53.3967919258303,58.283955862655716
208,electronic,b9c004a2-0c3b-4e09-bee3-d147872a9266,255,255,255,205.0,206.0,201.0,74.3148860894113,70.47734356313768,69.15917091174948
209,rock,19c9c45f-fd34-4f0d-9bc8-f53e6cbce3cb,0,255,252,35.0,124.0,101.0,82.39912451534663,82.8411552480103,76.44703157016366
210,country,3e5abaf6-faca-4d56-b272-d6931e1bd164,255,255,255,176.0,227.0,249.0,61.75630690898216,38.83022729439034,30.921943596811637
211,country,0dcb1330-c599-44d0-9993-9b8b84034890,72,95,131,71.0,96.0,128.0,28.223204815101774,32.322771600158546,37.21409030722336
212,hip-hop,3406f8a6-b047-4e64-9175-0ffba399e1e7,6,6,6,6.0,6.0,6.0,33.08377082996411,40.00088279025851,63.119939738844614
213,country,09cdc71c-ed69-3be2-a587-cf475e3612db,208,210,210,173.0,173.0,175.0,70.26649533654731,70.16515894916509,70.21529741090487
214,pop,faafdc60-4be5-4a22-8e8c-670ec5d385e2,34,29,221,88.0,182.0,214.0,40.37088962816648,54.540631169266966,58.9863670097362
215,rock,d1d702b2-a3fc-422d-9c6e-c5d0633b9ecc,33,30,24,36.0,31.0,25.0,69.01678038022592,68.22839626567414,64.5830586288434
216,pop,ae97eb23-501f-478f-9d1f-258094d7e47f,26,24,24,28.0,26.0,26.0,53.40262575615457,57.96342387578373,60.768855747190905
217,electronic,13742f8b-d981-48b5-b1e0-1acb3e21d520,22,21,21,23.0,23.0,23.0,37.77116164322193,41.91860342488122,45.63592993897523
218,rock,1e16f409-d014-430c-b5e3-3e0a1bab2e64,222,216,221,82.0,91.0,75.0,74.40366496753332,73.29616941018962,73.4802273635545
219,hip-hop,1158929a-8a88-4b06-a7c9-cd5930db146e,246,252,251,86.0,105.0,183.0,82.24725394945278,83.6273246672841,79.29756924898327
220,hip-hop,79991c08-21fb-4aba-87a6-b681ddf44bf2,22,25,23,23.0,26.0,24.0,46.6414556573143,49.18944760920188,51.915259247292454
221,hip-hop,d33ce12c-6973-4b81-bdfe-21ebabedc158,0,0,255,8.0,21.0,54.0,83.043083041788,81.82622333222767,89.31169364483242
222,hip-hop,0c378146-0be6-34af-8f0a-95f8d29a5c8c,2,3,1,42.0,48.0,69.0,72.52508838296167,79.4326805066621,91.24868381479483
223,pop,6d969bc3-6575-44e7-87eb-a2142c20163d,27,30,34,35.0,38.0,45.0,56.31784010549211,60.41763267229526,65.36283987297051
224,hip-hop,07209a3d-955d-4889-ac8a-8b54a0f744d3,255,255,255,255.0,255.0,255.0,62.36186367795228,62.60426033277876,60.56095011401535
225,rock,b0621012-1b76-4283-9a94-167cb787dbc2,156,172,0,151.0,157.0,137.0,43.57383002537996,51.177597400136875,58.78024051067162
226,country,ff7d4424-3041-4a6b-9960-d602b0ce7855,234,237,242,219.0,223.0,234.0,66.82200455706177,68.3095534720723,62.63596120177916
227,country,a1307a83-8a01-4e6c-9b69-ba1aa01b9171,0,0,0,0.0,0.0,1.0,76.10467510406293,76.09879631159471,83.51700531605007
228,electronic,19976ffa-c705-4535-bdaa-cf2f73a32bd4,0,0,28,13.0,15.0,30.0,22.827245274683847,22.9273258957205,21.8442465630615
229,country,c0e58077-b627-4130-bb95-c6e3659469d9,0,2,2,176.0,99.0,28.0,96.36151541149908,63.26287848656904,41.80551009284857
230,rock,c5dbbbd9-c48b-489e-a2d6-f19122d652af,27,15,255,51.0,62.0,100.0,55.60637474205547,71.94285492984788,83.95141270709682
231,electronic,8448c029-52f5-41f0-bc80-718d8d91fae5,239,241,241,84.0,60.0,66.0,69.35548396200849,74.87773884835188,74.9228396059813
232,pop,3a0138b9-1ec5-49ee-a07d-80044fc683db,30,32,29,30.0,34.0,32.0,26.78349326267087,41.054913943499436,40.87240231146195
233,hip-hop,a9aff52b-0475-4c15-a4fa-117886c99a06,0,255,255,14.0,34.0,111.0,92.32214364071788,94.22020726339301,85.38481621652448
234,hip-hop,0f6a17e6-b9d7-4a9a-af7d-665dcb5da460,37,34,237,37.0,39.0,224.0,81.39177391985547,80.98012306799747,70.43518890786156
235,rock,bbfd46c9-8647-473d-8382-917920724ea1,6,0,5,6.0,0.0,5.0,83.89284621470995,79.11366273590107,77.10641151472176
236,pop,ae9f317a-a627-4f97-a3b3-72ac73801344,18,5,31,24.0,12.0,39.0,49.77979462451986,43.883667216183476,35.34236160537459
237,pop,81879848-ce29-407d-a55a-a57e999ca533,0,0,0,136.0,78.0,28.0,91.94942426243497,85.07219732565332,50.76196856347256
238,rock,3a07b127-5dd2-4133-9e84-e1d9d55eafc0,53,24,255,58.0,126.0,167.0,31.3784331448118,70.53253170284918,72.88512450143719
239,pop,22c7b8ee-a6a6-4818-a9a7-843fbb2c9d03,0,0,0,137.0,152.0,157.0,76.42601052620459,79.92856114149093,81.39547226478672
240,hip-hop,97831ff7-20b7-4eac-8d68-1b644936278c,91,229,255,79.0,198.0,241.0,28.563216791300242,69.07773535161962,71.70337373589324
241,hip-hop,d50a57de-6ee5-4eb3-89de-ec8c08b9fa12,0,0,0,13.0,17.0,74.0,50.018190528325356,55.34673847260032,85.69986950462643
242,electronic,3566c002-a04d-480f-8246-640e9f4e8108,17,16,18,20.0,18.0,20.0,38.61168182003701,39.90002390677981,40.22510464870911
243,rock,5aca9cda-fc06-47ce-a5f3-bf415b1710e4,0,0,0,139.0,156.0,168.0,86.39689079558323,73.81296244414138,76.0180130066447
244,hip-hop,e27f633e-f508-4c32-98db-a68eba043e90,250,248,244,121.0,183.0,233.0,89.61073660329772,74.34905427775394,64.26361646434923
245,country,2251575e-382f-49f3-8778-2fd3b731db2c,77,74,77,93.0,94.0,97.0,26.955987507069075,27.74673780775218,28.09598922997487
246,hip-hop,240fd4f6-217a-47f3-a81a-90a08d4cc360,255,255,255,92.0,172.0,186.0,85.81412836695793,87.74456748086223,83.3580731496146
247,pop,7d2fad7b-1e9b-4c9b-8c21-5057dc237394,9,11,12,90.0,84.0,89.0,85.77408621423476,86.06944198445449,86.56406343900443
248,hip-hop,27a2ff98-b36e-4897-959d-851bdfdfc81f,255,255,255,23.0,25.0,27.0,90.01141900381697,90.69716799929259,91.35132204324935
249,rock,29f32ce1-8b4c-4757-bd11-d9a072fc11db,232,48,61,157.0,99.0,86.0,62.466615649579225,70.63037907520123,67.53200425283597
250,electronic,07d28133-913d-4121-9f5a-a96f991c3733,255,255,255,235.0,239.0,240.0,58.12178825261315,56.64194409057655,54.93448914402259
251,pop,9f33230f-a517-467e-bf7a-dcd13d3e3a71,255,255,255,177.0,234.0,243.0,75.77540395310078,51.79393204232264,72.03189273752831
252,hip-hop,09d13236-51ed-458a-b752-832868623f04,0,0,0,17.0,16.0,14.0,49.889130745440085,59.080079322287176,92.91675003618232
253,rock,dc45d5c5-c6ea-4645-ba49-757642a8c2b5,0,0,0,6.0,1.0,8.0,77.30585929829473,77.48745096054829,81.91598022640086
254,hip-hop,1deab224-1c7c-45b1-a081-8f9f4655c0fe,0,0,0,6.0,25.0,35.0,49.28833071477166,60.874463784166316,81.07044183671935
255,pop,6a902bb8-31bd-32a9-bef2-31cdfff84082,244,234,235,105.0,126.0,159.0,80.01571325886275,74.38503322839884,60.53671808511735
256,pop,deceeaef-f03d-4c62-af31-5caf7482898b,68,97,102,74.0,108.0,120.0,33.000916842371275,47.98086311044001,55.0780585499919
257,electronic,15a9376e-5407-44cb-adaf-55242c494cca,255,32,25,176.0,96.0,59.0,69.1900654625878,60.20603227484382,45.882248240015436
258,country,161414b6-530a-4987-9b01-e496bb1f581a,54,41,255,65.0,58.0,58.0,53.23738103318892,72.42708290532418,91.85078141269256
259,pop,2b60087a-bb73-432b-b986-b43931064d0e,0,0,255,82.0,24.0,31.0,74.34517093075685,84.67321212206882,99.73288409897825
260,pop,f9720b6d-5c8c-42cd-ba94-685394ae4a9a,26,22,59,27.0,31.0,81.0,28.663520924143565,30.07997226045928,44.721226217877515
261,rock,f4ba50c7-25b4-4613-a709-664c866047ee,255,255,255,103.0,135.0,156.0,82.07823543126399,93.61689353034312,92.50526727273694
262,electronic,829a95a1-c08f-4f28-8012-8daf3504f217,99,113,140,98.0,111.0,139.0,30.379224408172377,37.646248576685565,18.573508887243033
263,electronic,e6215166-075f-4c9e-93db-d3d028dd8fe1,255,255,153,94.0,139.0,131.0,85.75161831003543,67.08025775791612,64.08406325370812
264,rock,09a7cf2a-c5f0-4d60-b98d-7cb2dc085128,255,255,255,209.0,201.0,165.0,55.052681545966344,60.347901174847294,70.61061967722543
265,electronic,b1505d97-4951-486e-84e0-1bc01f2a8567,27,26,30,34.0,37.0,51.0,39.68071404750998,46.517069780777206,53.13732519380387
266,hip-hop,4947b1b5-926c-4148-80ce-9e662356c47e,0,0,0,9.0,14.0,40.0,58.03695496176208,64.10232275550659,73.16215104649399
267,country,fe7cefee-997f-4cd7-899e-de5db2566d29,255,107,95,82.0,109.0,111.0,69.4762407632329,66.93027416841967,75.90476336891182
268,pop,978aad5f-18a8-4ef8-b182-0c38c446d91f,2,3,1,54.0,28.0,182.0,59.54607873845598,59.585927365841144,87.91681266918596
269,electronic,a020be63-0c14-404d-bdaf-96f3583dafd2,21,19,18,20.0,19.0,18.0,53.722630832959624,53.82783549803741,53.92452915612708
270,electronic,15d7a651-3550-442e-bd48-acbed0efb901,13,0,0,125.0,122.0,135.0,66.94338209810138,70.98924195580949,69.77640228648066
271,hip-hop,4e390c3e-a1eb-4e20-9679-8d52ca76dee6,255,228,229,206.0,202.0,206.0,89.86680095959255,79.73633520071603,66.50657376800353
272,electronic,3ddee01e-da2e-438e-b353-8fa3dab246de,6,1,3,6.0,1.0,3.0,24.323482803827577,23.789008186067452,22.079575451395257
273,electronic,1f12e476-f578-4a07-bc6f-578afed93e95,53,35,28,71.0,99.0,203.0,38.993280263695894,53.60984753923853,84.20020182075423
274,country,8c7383c8-2020-4cae-9a6e-74acbb22c7bf,43,36,46,71.0,69.0,94.0,56.533386723641314,60.896092188156054,67.53531503480366
275,hip-hop,776dd212-5050-4c76-88bc-089d9a51369d,28,59,207,38.0,59.0,174.0,51.138705613397605,55.64624330825808,75.68153916572163
276,pop,d05c7c9a-a636-4b12-ac6b-c1de3a56bc65,18,19,17,35.0,37.0,39.0,30.1218436391865,32.49136305343215,42.07370623182131
277,country,97f5ade7-e87d-480c-a956-cab764c0a6bf,17,18,32,19.0,22.0,36.0,62.33281397024832,64.51012108801224,60.614183942043276
278,electronic,e403facd-913e-4ab4-a8b4-d397c79550e2,255,72,255,89.0,108.0,163.0,77.92061751929587,72.77795068143878,74.14404077442772
279,rock,bff295ae-51d0-470f-b6a9-d511643e753e,0,0,0,0.0,0.0,0.0,41.98780933747909,43.66444758656635,53.12506462450116
280,pop,4d30c9fb-512a-48d8-9a27-55314e788c23,42,33,255,56.0,78.0,137.0,56.96341006021545,66.88844725863096,80.12959174426976
281,country,f76fa63b-7797-46e1-949c-b646b2cc9fe8,7,8,6,20.0,63.0,64.0,85.57428798079711,92.561126626706,90.79181367699623
282,rock,84d537c0-bc24-43dc-ba55-377c25e9c17a,255,255,255,164.0,178.0,170.0,68.87493992512702,57.193122615027775,60.065747769390704
283,hip-hop,cb7ed05e-0466-42af-8f0e-9766f46c1c17,255,244,245,77.0,84.0,104.0,85.69081655025583,84.89447146936351,86.86740841417559
284,hip-hop,650ae81b-89d2-46cf-a3f6-be34046a7303,18,14,13,63.0,44.0,31.0,52.862733935287,46.06417913897766,42.86514053410281
285,hip-hop,23933dbe-e90d-4c83-b9f8-286039b4c2d7,255,255,35,105.0,66.0,49.0,69.308029407688,61.009086282591845,60.4056635688987
286,country,6d750833-523d-4dc9-a14a-6d45c9b411ac,0,0,0,55.0,84.0,94.0,83.93832287577675,87.05767696381069,91.86504562673714
287,pop,e1b24c75-812a-4306-ad42-f88916b073f3,40,36,41,127.0,127.0,135.0,54.715379470185525,57.830022050462475,62.79843762856207
288,pop,f8de22b6-c66d-4036-9311-cb80b57c0d32,0,0,0,12.0,9.0,10.0,21.058828247227435,33.83554122274978,67.98828716272826
289,country,498f132b-c8a3-4d51-a906-367704f692ae,211,247,241,168.0,177.0,180.0,65.09214933210228,62.513744162798126,61.61341931337114
290,country,e8bd2c33-ff7d-40dd-84ba-c016d8d08c7b,232,12,25,110.0,80.0,45.0,76.76310295142281,76.56369572023924,70.3342929833303
291,pop,d9d6d2d0-8552-4c12-982d-49cc6a4d7a7e,44,187,199,78.0,82.0,103.0,56.886643306834124,68.09043220128291,68.25079845984514
292,country,dd54d9da-975d-4b47-bbc4-c809f99f9426,250,255,255,201.0,231.0,251.0,70.83350225109461,73.27374249632402,71.59940795355212
293,hip-hop,d6521901-fa16-451d-86f3-50273ff5fb05,255,248,59,190.0,133.0,112.0,74.66841709519719,75.44803163776656,63.33195358987435
294,pop,8ca6058f-f7da-4106-9e9e-b2c00e2ba1ea,246,0,250,67.0,29.0,79.0,78.36589787935984,88.2898264379901,79.77568818917312
295,hip-hop,dcc9ac72-5226-4d11-bd61-872e0be24545,255,255,255,94.0,111.0,149.0,78.56993936916801,78.49768211119317,78.27345115162468
296,rock,4df2f9a7-8d62-4895-a28c-c5df3e666ad5,110,147,7,110.0,147.0,7.0,31.78772043473869,40.29448213466037,25.694661773520505
297,country,4f0e5075-047a-4103-9ba1-d5f99f99d36c,41,41,57,53.0,66.0,90.0,33.29016442839681,52.03062118511352,66.05743250418334
298,rock,f677da4a-c069-4ae2-9bde-bafdcaa3eaa9,0,0,0,11.0,10.0,12.0,56.673311240236664,54.41426017565249,54.07505518508747
299,pop,1f026be6-5446-4a40-8979-40b52dbbd8fa,9,9,9,36.0,107.0,167.0,39.67693791365982,68.95254736957769,87.38739733511197
300,rock,78e0a82c-f6e3-45fe-8f5c-190ae91bf357,9,10,255,31.0,38.0,36.0,38.29555262504011,53.47874872953181,67.8653103506379
301,pop,5657f5dc-d0df-41f4-8134-12df29236c22,100,71,0,92.0,76.0,81.0,53.76993914649203,50.412941113383816,54.397019387771024
302,electronic,0194abe3-f137-3757-b639-2566af63036d,12,14,221,82.0,112.0,158.0,70.28450584358359,83.09116741926103,71.90580029149204
303,hip-hop,4eb56cea-ca17-4f14-bf98-cfdef3947c7f,40,38,30,62.0,65.0,31.0,56.96932741251966,72.21498733303044,76.94544893764008
304,pop,d22a36ce-2a5d-48d3-a3f6-4c226a8fac26,1,1,1,53.0,67.0,75.0,60.06660868546197,65.26729305534145,74.95612618689245
305,electronic,72cbb9e5-99aa-45ef-a762-8dfb6eb3674d,0,0,0,149.0,107.0,7.0,89.9891292899559,78.31968913145404,53.21152888798682
306,hip-hop,bd10b986-eca8-40a9-8ded-dd7804d271fb,6,4,3,34.0,51.0,68.0,70.64468054422623,74.72166918732756,84.47296032285986
307,country,29adc87d-8df0-4a66-8e26-10cb67a9461d,183,226,255,172.0,211.0,223.0,61.89219323647673,77.86761134764663,84.83295920917143
308,pop,d939d8f4-6e1e-48c5-9ee5-c01bb41404e4,255,255,255,255.0,255.0,255.0,53.538588007307176,53.09295920327576,48.22659892178738
309,pop,6acf7da7-d6e5-4a92-b160-5efe87ed68a7,255,255,0,92.0,111.0,23.0,79.13146385660764,77.17794999878139,73.66724256003886
310,electronic,534b6c59-1838-40d3-8bdf-e218e822c740,251,243,242,152.0,202.0,234.0,52.26739148137685,36.82964436119382,25.40797619333866
311,electronic,69ffac87-4f95-47ba-8826-a9ae8e643f61,50,60,85,61.0,68.0,94.0,44.600520707072654,47.50842679856634,46.89353648292881
312,rock,2fa486f2-5e20-4a63-8e03-2a16dc32963c,20,6,8,21.0,11.0,13.0,54.83710282543512,88.41050769067813,101.3351396749389
313,rock,7f634e83-03a4-4ef1-aaa2-b520e4415e6b,36,32,255,50.0,43.0,127.0,54.33509797118751,60.521991116802624,74.38360007718249
314,rock,6a0c8924-925e-48ee-96f5-0af82187aa79,39,40,38,40.0,40.0,38.0,23.32270610514963,18.255609268000452,12.947720629902394
315,rock,96ec45d1-859f-4179-a59c-d7b4faef77f0,0,2,2,19.0,39.0,45.0,58.17959514985865,67.38518069457112,68.21752388273077
316,country,163ecae4-6bb7-479d-8e90-92aa03cb79bc,25,14,255,66.0,89.0,126.0,58.10688748184799,71.6127579961448,85.96662847322243
317,electronic,a57ef7f3-7cc3-4552-b945-778531ce0c61,32,58,50,34.0,59.0,65.0,37.711314704108425,43.18775781070835,44.61720027350869
318,electronic,3c0995a3-978e-48e8-8ff6-01a7b501228e,255,255,255,218.0,218.0,220.0,63.596071272087364,61.384820335566864,57.025599726315065
319,hip-hop,93216356-7f66-4492-9fba-54ab96f0c7bd,18,14,19,21.0,17.0,23.0,71.27505851765416,53.518970418052554,41.04539214773809
320,rock,6137f03f-be09-418d-9b5a-9799531f635e,8,7,9,10.0,10.0,14.0,27.590623463060492,32.40882597845865,38.86042638580611
321,electronic,47949ab9-3cbd-4fe0-8e6a-46539a6cae80,246,246,246,234.0,240.0,245.0,101.66866177158496,68.77701700220027,61.67493468721815
322,electronic,9d5166bc-4369-3192-86b9-859d77dec9ae,251,251,251,251.0,251.0,251.0,47.697643160785375,47.697643160785375,47.697643160785375
323,rock,491ded48-ec70-42cd-bba3-7fc4b0115f56,0,0,0,0.0,0.0,0.0,124.60193929321287,124.60193929321287,124.60193929321287
324,pop,cb35a21f-f597-439a-99ae-4184a2c2d3bf,5,5,247,114.0,156.0,184.0,71.91388108567814,95.87422700111317,101.09187119255823
325,country,e2b314d5-5a49-48a1-83df-26172acb37d7,191,207,171,168.0,178.0,154.0,69.5504907625209,68.48351474858327,51.77174650104838
326,hip-hop,b12c60d7-80c9-4391-b885-22dd289759e7,211,222,226,87.0,92.0,124.0,74.43099178013588,78.06392151149323,77.7235721467143
327,hip-hop,e301ce16-02f7-4339-8177-5f787559f9ca,66,54,64,78.0,68.0,77.0,28.09708306529744,29.91069959511639,27.411907108971754
328,rock,a0dfcd18-8b1a-4efe-aa62-13b44eefcd86,255,137,0,207.0,174.0,102.0,47.76159549941757,54.5151505520344,83.0415954594206
329,country,4362b319-05ad-4923-a9fe-20240eb7b174,251,254,255,205.0,208.0,213.0,83.04482843179098,81.79514121167627,75.15685806560582
330,country,970b98dc-e7a4-46fa-9cf6-bb5d450c522d,255,255,255,255.0,255.0,255.0,98.46527737857645,91.21206367647088,86.06443847422196
331,pop,c9f2922b-3334-452a-b745-334724bf4830,180,191,189,118.0,134.0,166.0,73.41794918545638,71.70330317394132,48.49987825196364
332,hip-hop,7d7aa4f7-8165-4dfb-b073-b0e1e1b8845a,224,59,0,115.0,100.0,38.0,73.16582700203968,51.45230643055372,78.25317686964281
333,electronic,efa36c3d-2e8a-4cab-b3c5-32d12b3f07b0,217,16,51,41.0,49.0,54.0,88.95471903832771,48.185919185791015,71.53993112083728
334,rock,c1874f9f-d728-478b-884b-a4077ed70d15,230,209,177,135.0,155.0,166.0,56.681694457024975,48.17380044779594,46.59341225078824
335,electronic,731fd3d3-10ea-4a41-9e6d-871488e53f54,14,18,19,91.0,90.0,92.0,73.05188710989196,72.39214597773149,72.11677030773643
336,hip-hop,30e4620f-b5b5-46b5-af6b-57457d33d716,8,0,6,71.0,69.0,73.0,50.782343790138555,52.57131910809711,54.4210110009785
337,electronic,83219409-a39c-3c3c-9928-06f0eac04423,37,16,16,42.0,25.0,25.0,39.18050914452317,63.60097296011299,76.93352726719856
338,pop,61a92fac-a3a9-43a5-97f4-fc79e6e44cdd,4,3,0,120.0,99.0,71.0,79.94264826345207,76.11089283726623,73.4979374435984
339,hip-hop,7bdec870-d321-4b69-a424-35d5e67ce442,0,10,10,15.0,18.0,71.0,33.7765919157902,48.59468428884377,70.23537942913683
340,country,e7b6c232-063d-4f9e-a6a6-c3af8337199a,152,116,103,143.0,108.0,98.0,53.33672676657149,41.0990228572581,39.089713099990895
341,rock,ca485ab0-da87-4fdf-9564-6664f23a7945,151,202,222,113.0,145.0,154.0,38.76232497475888,51.01074709949487,56.23633843913468
342,pop,c938d527-546b-451a-99d1-e883a490e0c2,228,241,247,173.0,224.0,242.0,63.43494373869292,71.8498337683259,74.31308913179426
343,country,1932563f-b7ac-43db-9b35-01bd11fd5299,1,1,1,2.0,3.0,3.0,49.81029632799966,58.01887481646213,100.75187643648378
344,rock,8b717570-1fc5-41cc-b05a-b0354414679a,68,213,212,68.0,213.0,212.0,11.273544850117021,30.852416440234695,20.409631601016613
345,rock,196e0ccc-8976-45af-a865-b109218539c3,30,29,39,35.0,36.0,49.0,15.633124530915245,32.89894766104861,38.95726322302551
346,hip-hop,3fb4454a-64b6-4981-8748-4cdd889fe04b,4,2,1,116.0,172.0,199.0,98.49405554854559,104.15888402194786,109.65413307104107
347,electronic,6ac9f4c6-3f11-44e6-872a-5ae6fa8b15fe,20,20,20,20.0,20.0,20.0,71.53247837075406,71.53247837075406,71.53247837075406
348,pop,e3c33f03-3324-3ace-b5e2-887dba7795fd,0,10,0,54.0,90.0,109.0,65.48269646567405,74.19803587750005,82.87783151660773
349,rock,50b4286d-282e-47ee-8a70-6f2357dc6919,238,201,202,232.0,206.0,195.0,22.110593389332635,29.195902231670527,28.61644334087631
350,rock,65bbd028-3343-4943-84a2-ad9fd51350fd,155,240,66,150.0,237.0,70.0,51.094593785550344,48.74100110066366,19.35963092659734
351,electronic,2c781a00-943e-42f0-a4a0-a26559811a41,83,60,30,106.0,90.0,66.0,59.245183869437895,68.85450144465084,68.25905797429778
352,rock,3f6ba929-ff4a-4af8-a896-2803ca3112c0,200,9,233,34.0,21.0,123.0,67.06759509829169,56.511741335899394,56.33765044117122
353,rock,7f113627-ef05-4c70-aa80-8ca90e15df4c,9,13,15,12.0,16.0,18.0,52.36265766242184,53.94685325972131,67.17383364845047
354,electronic,5528841d-3e6f-4e4c-97f9-e1d1cc196206,22,20,26,62.0,58.0,46.0,74.968619257112,74.56006339035932,91.85721644805321
355,hip-hop,94638975-a7ed-4d4b-be00-960c89c55027,0,0,255,148.0,173.0,190.0,83.2778798792634,92.50152746955946,85.8210967089002
356,pop,84c9200f-d9d7-48c0-a274-2df3f1c9a8ba,0,0,0,53.0,87.0,82.0,31.7379891823484,58.11293104516151,57.38833959108502
357,pop,610c553f-6d11-4427-bf0b-77226960b901,27,32,31,34.0,36.0,36.0,35.03394889822522,29.408004276777703,32.669587420718976
358,electronic,fc648794-6666-4a13-83e3-0f20dc8a4c0c,18,25,28,32.0,69.0,73.0,64.81181654827965,64.37273245266955,63.00533794462498
359,rock,167b51f4-1f76-4bf0-8626-fe4e93bb993f,29,49,44,35.0,61.0,58.0,36.09974543243208,34.65161660304211,50.505122011460344
360,country,04b56b33-9dc4-4cb6-90db-a7717f5d3cda,169,197,255,167.0,167.0,190.0,58.65895483183054,62.02034315892823,70.17177457657448
361,rock,1cd772fd-838a-4a20-b1d7-f6d40877a60b,255,255,255,107.0,120.0,131.0,82.97808738253491,79.64452048810197,80.64721853868825
362,pop,708f085d-210a-4b81-9f31-51130dc11d1c,41,46,195,51.0,62.0,181.0,37.908644925947954,51.30225265844048,44.66243800213329
363,pop,b0beb1c8-1ed7-3dda-a77a-ad48fde73104,53,64,189,54.0,65.0,180.0,39.488501691165546,42.63270815057866,50.48559466712556
364,hip-hop,cc491072-7ed0-40c1-a36b-4499e86de2b5,24,21,34,76.0,76.0,75.0,66.52763016213206,62.82844236770159,63.09672814813777
365,country,88a77286-9fef-405b-be10-a2f12877cb22,16,17,15,59.0,80.0,105.0,102.60682451013176,102.46473279909071,106.62517538355145
366,hip-hop,41e7289c-9db7-4a4e-9bfb-54e0a81ba57c,252,255,255,249.0,251.0,253.0,80.36412052241134,77.24884245372225,11.880701762421277
367,hip-hop,846f3d24-9006-4ef3-9f4e-ef13317d98a0,249,254,253,201.0,209.0,217.0,69.59332844543258,63.15152394941474,64.429340248008
368,country,ee553dec-4f1a-4d55-8146-32151ee4a466,0,0,0,86.0,76.0,57.0,86.89804136002661,85.1286812735239,83.97369275679532
369,rock,ea074fb8-888d-42a0-b2f9-d73b0039f5c0,47,71,255,56.0,82.0,125.0,51.93646616703528,59.136349806043185,55.19850893853942
370,electronic,de32ea23-1f25-4359-93ee-afdc9de2b6dc,255,255,255,45.0,43.0,64.0,67.61144022831154,72.12100705450815,72.49344608175235
371,hip-hop,f7b5f3c0-a688-4433-85bf-f478ddf5edff,0,0,255,36.0,73.0,146.0,83.44469441727871,84.80130993752688,83.39495511254631
372,electronic,df091849-095e-433f-b451-3adecf294578,0,0,0,0.0,0.0,0.0,56.19451516794585,56.19451516794585,56.19451516794585
